16, 16, 295.762
9, 9, 301.189
13, 13, 402.203
11, 11, 296.062
10, 10, 269.472
13, 13, 544.13
11, 11, 297.525
10, 10, 547.363
13, 13, 141.004
15, 15, 441.351
15, 4, 294.601
11, 3, 307.484
13, 4, 394.91
15, 6, 317.378
15, 4, 285.629
17, 5, 558.129
13, 5, 301.339
24, 7, 632.066
11, 4, 134.928
10, 3, 433.907
13, 7, 278.794
8, 3, 298.673
11, 4, 381.042
19, 8, 326.529
8, 4, 266.47
17, 9, 555.455
16, 7, 308.891
10, 4, 546.301
11, 5, 134.828
15, 5, 463.289
30, 15, 339.924
14, 7, 308.845
20, 10, 435.618
12, 6, 299.517
20, 10, 305.181
16, 8, 567.804
12, 6, 300.975
20, 10, 600.187
20, 10, 148.692
22, 11, 497.669
