98, 93, 2434.06
108, 93, 1958.06
103, 92, 2606.86
100, 93, 3111.68
97, 89, 4163.7
76, 67, 2390.08
0, 0, 1460.5
93, 83, 2689.56
76, 68, 2918.87
116, 105, 3313.22
792, 73, 2475.52
986, 94, 1965.67
761, 72, 2661.09
972, 94, 3116.06
964, 89, 5103.82
677, 67, 2472.31
0, 0, 1460.5
544, 54, 2688.06
534, 52, 3044.45
1008, 97, 3368.14
438, 73, 2455.28
545, 93, 1932.69
444, 72, 2661.91
534, 93, 3282.55
545, 89, 5107.69
399, 67, 2412.69
0, 0, 1460.5
327, 55, 2686.28
319, 52, 2981.56
477, 81, 3310.66
653, 73, 2454.18
934, 113, 2013.43
645, 72, 2648.23
828, 93, 3320.41
854, 89, 5107.69
601, 67, 2412.69
0, 0, 1460.5
467, 52, 2687.96
471, 52, 2985.2
812, 97, 3317.56
