5, 5, 383.769, 3249
6, 6, 427.065, 3306
2, 2, 245.671, 1246
4, 4, 341.295, 1581
5, 5, 317.632, 2708
5, 5, 512.334, 2919
7, 7, 356.435, 2872
5, 5, 658.507, 2765
10, 10, 213.44, 3777
6, 6, 381.702, 3323
4, 1, 303.218, 1014
20, 7, 552.297, 2629
6, 2, 290.735, 1178
10, 3, 415.671, 1282
3, 1, 278.815, 918
9, 3, 526.418, 2295
12, 5, 395.377, 1749
7, 3, 651.584, 2768
6, 3, 246.902, 2148
9, 3, 400.952, 2091
3, 1, 290.141, 1071
9, 5, 397.965, 3315
6, 2, 284.906, 1258
6, 4, 397.747, 1423
12, 5, 357.018, 2199
8, 4, 514.354, 3252
8, 4, 354.824, 1974
7, 5, 595.077, 4216
17, 10, 506.885, 5218
9, 4, 382.286, 2426
21, 7, 494.992, 2648
12, 4, 465.054, 1800
7, 2, 300.591, 1311
10, 3, 377.326, 1744
13, 4, 349.644, 1770
7, 2, 520.129, 2008
12, 4, 377.678, 1996
10, 3, 662.704, 2769
14, 4, 305.109, 2305
12, 4, 482.28, 3189
