47, 43, 1361.49
8, 8, 691.896
25, 22, 883.511
16, 16, 541.328
36, 35, 1413.6
13, 13, 1298.32
22, 20, 997.495
10, 10, 870.528
29, 27, 769.77
32, 32, 1334.94
98, 19, 1311.65
112, 20, 1308.24
114, 21, 1048.56
31, 6, 459.968
157, 30, 1351.07
91, 17, 1774.12
104, 20, 970.18
57, 10, 923.789
50, 9, 703.137
105, 19, 1327.12
79, 23, 1312.24
21, 8, 691.896
74, 20, 881.404
22, 6, 487.618
105, 34, 1413.6
38, 11, 1306.55
66, 20, 995.083
34, 10, 886.608
35, 9, 661.412
64, 19, 1326.1
147, 33, 1317.11
36, 8, 868.431
100, 22, 1131.72
24, 6, 456.968
150, 35, 1408.81
45, 10, 1304.3
89, 20, 991.35
46, 10, 921.589
38, 9, 687.192
88, 21, 1327.12
