15, 15, 336.765, 4101
5, 5, 265.975, 2316
3, 3, 228.534, 1390
8, 8, 284.381, 2856
5, 5, 236.81, 1820
5, 5, 385.26, 3390
6, 6, 274.341, 2139
10, 10, 540.236, 4092
9, 9, 145.854, 1536
6, 6, 266.809, 2455
14, 5, 346.362, 1749
8, 3, 287.644, 1212
6, 2, 251.444, 1242
8, 3, 283.816, 1824
5, 1, 233.39, 689
5, 1, 380.112, 783
13, 5, 326.199, 2066
9, 4, 515.836, 2280
7, 4, 118.863, 864
15, 5, 337.64, 1147
14, 6, 365.502, 2426
12, 4, 325.12, 1420
5, 2, 248.788, 1134
8, 4, 289.592, 2301
9, 5, 266.389, 2051
6, 2, 385.667, 1471
13, 6, 324.907, 1518
6, 2, 488.94, 1601
10, 5, 146.377, 1316
13, 6, 333.174, 1841
15, 5, 353.101, 1908
9, 3, 292.051, 1571
9, 3, 265.69, 1272
6, 2, 266.589, 1124
9, 3, 254.005, 1841
6, 2, 397.912, 1494
9, 3, 294.448, 1300
9, 3, 540.866, 1564
15, 5, 178.889, 1207
12, 4, 318.168, 1378
