50, 44, 2439.85
58, 53, 2889.26
39, 35, 1296.55
93, 84, 2017.69
56, 50, 3196.78
86, 78, 5716.41
92, 85, 2355.81
56, 47, 1752.9
64, 63, 2527.85
43, 36, 1841.96
232, 29, 2432.38
434, 53, 2887.09
325, 41, 1239.75
444, 54, 1996.16
810, 95, 6303.16
570, 73, 6045.76
561, 70, 2390.42
220, 27, 1689.23
540, 67, 3500.84
282, 36, 1856.33
134, 29, 2441.94
186, 38, 2619.08
152, 29, 1262.95
335, 69, 2008.03
300, 65, 4144.03
348, 73, 6377.82
253, 59, 2355.63
145, 29, 1692.21
192, 45, 2531.39
164, 36, 1847.51
197, 29, 2437.53
331, 53, 2887.09
271, 41, 1239.75
341, 54, 1995.84
348, 50, 3198.78
434, 74, 6495.34
342, 55, 1856.65
175, 27, 1549.21
230, 42, 2516.54
229, 36, 1847.68
